Unnamed: 0;nom;etablissement;Date;adresse;commune;prix;Coordonnees
95;Maîtres anciens : Comédie;Théâtre 14;<b>Du 5 décembre 2023 au 23 décembre 2023</b>;place Colette;Paris 1er;unknown;(48.863335, 2.336271)
96;Bienvenue à la Caf;La Comédie du Onzième;<b>Du 26 décembre 2023 au 1 avril 2024</b>;place Colette;Paris 1er;10-20 €;(48.863335, 2.336271)
97;La Joconde parle enfin;Théâtre de l'Œuvre;<b>Du 15 février 2024 au 31 mars 2024</b>;place Colette;Paris 1er;9-43 €;(48.863335, 2.336271)
98;Le Comte de Monte-Cristo;Théâtre L'Essaïon;<b>Du 24 novembre 2023 au 25 février 2024</b>;place Colette;Paris 1er;11-28 €;(48.863335, 2.336271)
99;Coupures;Théâtre des Béliers Parisiens;<b>Du 25 août 2023 au 4 janvier 2024</b>;place Colette;Paris 1er;22-40 €;(48.863335, 2.336271)
100;Courgette;Théâtre Tristan-Bernard;<b>Du 25 août 2023 au 6 janvier 2024</b>;place Colette;Paris 1er;33-42 €;(48.863335, 2.336271)
101;Fabrice Luchini lit Victor Hugo;Théâtre de l'Atelier;<b>Du 22 octobre 2024 au 31 octobre 2024</b>;place Colette;Paris 1er;unknown;(48.863335, 2.336271)
102;L'Échange;Théâtre de Poche-Montparnasse;<b>Du 12 septembre 2023 au 31 décembre 2023</b>;place Colette;Paris 1er;28 €;(48.863335, 2.336271)
103;La Folle et Inconvenante Histoire des femmes;Le Funambule Montmartre;<b>Du 23 octobre 2023 au 30 janvier 2024</b>;place Colette;Paris 1er;11-33 €;(48.863335, 2.336271)
104;Lucrèce Borgia;Comédie-Française - Salle Richelieu;<b>Du 17 janvier 2024 au 1 avril 2024</b>;place Colette;Paris 1er;unknown;(48.863335, 2.336271)
105;Un pour tous;Café de la Gare;<b>Le 31 décembre 2023</b>;95 bd Saint-Michel;Paris 5e;29 €;(48.844567, 2.339549)
106;Un pour tous;Les Enfants du Paradis;<b>Du 22 décembre 2023 au 5 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;22-33 €;(48.844567, 2.339549)
107;Jacques et Chirac;Théâtre de la Contrescarpe;<b>Du 16 août 2023 au 29 février 2024</b>;95 bd Saint-Michel;Paris 5e;12-37 €;(48.844567, 2.339549)
108;Cyrano de Bergerac;Théâtre Ranelagh;<b>Du 26 octobre 2023 au 12 mai 2024</b>;95 bd Saint-Michel;Paris 5e;13-44 €;(48.844567, 2.339549)
109;L'Os à moelle;Artistic Théâtre;<b>Du 21 octobre 2023 au 31 décembre 2023</b>;95 bd Saint-Michel;Paris 5e;16-50 €;(48.844567, 2.339549)
110;Pour le meilleur et pour le dire;Café de la Gare;<b>Du 6 octobre 2023 au 28 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;18-29 €;(48.844567, 2.339549)
111;L'Incroyable Épopée de François 1er;Théâtre de la Contrescarpe;<b>Du 6 novembre 2023 au 26 février 2024</b>;95 bd Saint-Michel;Paris 5e;12-37 €;(48.844567, 2.339549)
112;Geli;La Manufacture des Abbesses;<b>Du 26 novembre 2023 au 16 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;11-29 €;(48.844567, 2.339549)
113;La Chute;Théâtre de la Contrescarpe;<b>Du 11 septembre 2023 au 27 février 2024</b>;95 bd Saint-Michel;Paris 5e;12-33 €;(48.844567, 2.339549)
114;Le Discours de la servitude volontaire;Théâtre de l'Épée de Bois - Cartoucherie;<b>Du 25 novembre 2023 au 23 décembre 2023</b>;95 bd Saint-Michel;Paris 5e;11-24 €;(48.844567, 2.339549)
115;Je t'aime à l'italienne et à l'algérienne;La Divine Comédie;<b>Du 30 septembre 2023 au 7 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;18-42 €;(48.844567, 2.339549)
116;An Irish Story (une histoire irlandaise);Théâtre de Belleville;<b>Du 3 décembre 2023 au 30 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;unknown;(48.844567, 2.339549)
117;Un chapeau de paille d'Italie;Théâtre du Lucernaire;<b>Du 10 janvier 2024 au 17 mars 2024</b>;95 bd Saint-Michel;Paris 5e;16-33 €;(48.844567, 2.339549)
118;Freud et la femme de chambre;Théâtre Montparnasse;<b>Du 20 janvier 2024 au 7 avril 2024</b>;95 bd Saint-Michel;Paris 5e;16-60 €;(48.844567, 2.339549)
119;Le Tartuffe;Comédie Saint-Michel;<b>Du 9 décembre 2023 au 20 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;18-46 €;(48.844567, 2.339549)
120;Sherlock Holmes et l'aventure du diamant bleu;Le Grand Point Virgule;<b>Du 3 décembre 2021 au 27 avril 2024</b>;29 rue de Dunkerque;Paris 10e;21-33 €;(48.88023, 2.353135)
121;Je me sens si bien chez vous;Théâtre des Blancs Manteaux;<b>Du 22 décembre 2023 au 29 mars 2024</b>;29 rue de Dunkerque;Paris 10e;20-74 €;(48.88023, 2.353135)
122;Together;Théâtre de l'Atelier;<b>Du 16 janvier 2024 au 18 février 2024</b>;29 rue de Dunkerque;Paris 10e;23-45 €;(48.88023, 2.353135)
123;Le Père Noël est une ordure;Théâtre du Gymnase;<b>Du 7 octobre 2023 au 6 janvier 2024</b>;29 rue de Dunkerque;Paris 10e;20-26 €;(48.88023, 2.353135)
124;L'Enfant de verre;Théâtre de l'Épée de Bois - Cartoucherie;<b>Du 7 décembre 2023 au 23 décembre 2023</b>;29 rue de Dunkerque;Paris 10e;11-24 €;(48.88023, 2.353135)
125;J'aime beaucoup ce que vous faites;Théâtre Mélo d'Amélie;<b>Du 1 septembre 2023 au 6 janvier 2024</b>;29 rue de Dunkerque;Paris 10e;11-40 €;(48.88023, 2.353135)
126;Le Songe d'une nuit d'été;Théâtre de la Ville - Sarah Bernhardt;<b>Du 16 janvier 2024 au 10 février 2024</b>;29 rue de Dunkerque;Paris 10e;unknown;(48.88023, 2.353135)
127;L'Antichambre;Théâtre Ranelagh;<b>Du 8 septembre 2023 au 14 janvier 2024</b>;29 rue de Dunkerque;Paris 10e;13-39 €;(48.88023, 2.353135)
128;Le Silence;Comédie-Française - Théâtre du Vieux-Colombier;<b>Du 31 janvier 2024 au 10 mars 2024</b>;29 rue de Dunkerque;Paris 10e;37 €;(48.88023, 2.353135)
129;L'Avare;Théâtre Ranelagh;<b>Du 22 octobre 2023 au 27 avril 2024</b>;29 rue de Dunkerque;Paris 10e;13-28 €;(48.88023, 2.353135)
130;Les Quatre Sœurs March;Théâtre Ranelagh;<b>Du 19 janvier 2024 au 31 mars 2024</b>;29 rue de Dunkerque;Paris 10e;13-44 €;(48.88023, 2.353135)
131;Juste un souvenir;Théâtre de Poche-Montparnasse;<b>Du 23 novembre 2023 au 14 janvier 2024</b>;29 rue de Dunkerque;Paris 10e;24 €;(48.88023, 2.353135)
132;Les Desperate Housemen se marient !;Le Grand Point Virgule;<b>Du 15 septembre 2023 au 30 mars 2024</b>;29 rue de Dunkerque;Paris 10e;11-69 €;(48.88023, 2.353135)
133;Ma version de l'histoire;Théâtre Michel;<b>Du 10 janvier 2024 au 30 mars 2024</b>;29 rue de Dunkerque;Paris 10e;17-51 €;(48.88023, 2.353135)
134;Rose Valland : Sauver un peu de la beauté du monde;Théâtre La Boussole;<b>Du 19 octobre 2023 au 13 janvier 2024</b>;29 rue de Dunkerque;Paris 10e;11-40 €;(48.88023, 2.353135)
135;La Cantatrice chauve;Théâtre de la Huchette;<b>Du 16 février 1957 au 13 juillet 2024</b>;95 bd Saint-Michel;Paris 5e;23 €;(48.844567, 2.339549)
136;On a essayé de monter Hamlet;Théâtre Edgar;<b>Du 30 septembre 2023 au 11 mai 2024</b>;95 bd Saint-Michel;Paris 5e;13-49 €;(48.844567, 2.339549)
137;Camus par Enthoven;Le Théâtre Libre;<b>Du 4 octobre 2023 au 5 février 2024</b>;95 bd Saint-Michel;Paris 5e;32 €;(48.844567, 2.339549)
138;Culottées;Comédie-Française - Studio-Théâtre;<b>Du 25 janvier 2024 au 3 mars 2024</b>;95 bd Saint-Michel;Paris 5e;unknown;(48.844567, 2.339549)
139;Sentinelles;Théâtre du Rond-Point;<b>Du 30 janvier 2024 au 10 février 2024</b>;95 bd Saint-Michel;Paris 5e;42 €;(48.844567, 2.339549)
140;Les Entretiens d'embauche;Théâtre Le Bourvil;<b>Du 15 juin 2023 au 31 mars 2024</b>;95 bd Saint-Michel;Paris 5e;13-41 €;(48.844567, 2.339549)
141;Ados;Le Grand Point Virgule;<b>Du 30 septembre 2023 au 26 mai 2024</b>;95 bd Saint-Michel;Paris 5e;15-35 €;(48.844567, 2.339549)
142;Les Fous alliés;Théâtre du Marais;<b>Du 25 septembre 2023 au 29 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;16-22 €;(48.844567, 2.339549)
143;Le meilleur de l'homme c'est... sa femme;Théâtre Le Passage vers les Étoiles;<b>Du 1 juillet 2023 au 3 mars 2024</b>;95 bd Saint-Michel;Paris 5e;13-55 €;(48.844567, 2.339549)
144;Vel d'Hiv;Théâtre Antoine;<b>Du 10 janvier 2024 au 18 février 2024</b>;95 bd Saint-Michel;Paris 5e;21-50 €;(48.844567, 2.339549)
145;Le Vertige;Théâtre de la Madeleine;<b>Du 1 février 2024 au 10 mars 2024</b>;95 bd Saint-Michel;Paris 5e;16-48 €;(48.844567, 2.339549)
146;Les Contes du chat perché : Le Chien;Comédie-Française - Studio-Théâtre;<b>Du 22 novembre 2023 au 7 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;unknown;(48.844567, 2.339549)
147;Ferme bien ta gueule;Théâtre Lepic;<b>Du 20 septembre 2023 au 7 janvier 2024</b>;95 bd Saint-Michel;Paris 5e;24-42 €;(48.844567, 2.339549)
148;L'Odeur de la guerre;La Scala Paris;<b>Du 12 octobre 2023 au 17 mars 2024</b>;95 bd Saint-Michel;Paris 5e;20-25 €;(48.844567, 2.339549)
149;L'Homme de ses rêves;Comédie Saint-Michel;<b>Du 8 septembre 2023 au 7 mai 2024</b>;95 bd Saint-Michel;Paris 5e;22-46 €;(48.844567, 2.339549)
150;Gisèle Halimi : Une farouche liberté;La Scala Paris;<b>Du 27 février 2024 au 31 mars 2024</b>;5 rue des Vignes;Paris 16e;15-46 €;(48.854572, 2.277741)
151;Le Quai;La Manufacture des Abbesses;<b>Du 30 novembre 2023 au 14 janvier 2024</b>;5 rue des Vignes;Paris 16e;11-29 €;(48.854572, 2.277741)
